Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
41,US-2020-100476,04/07/2021,04/13/2021,Standard Class,CU-10446,Client CU-10459,Corporate,United States,Maryland,Maryland,73179,East,OFF-PA-1040,Office Supplies,Paper,Compact Copy Paper Ream,40.91,1,0.0,14.15
42,US-2021-104041,03/12/2022,03/14/2022,First Class,CU-10574,Client CU-10100,Corporate,United States,Missouri,Missouri,92894,Central,TEC-MA-1041,Technology,Machines,Executive Label Printer,1362.45,4,0.1,290.83
43,US-2021-104109,05/07/2023,05/10/2023,Standard Class,CU-10043,Client CU-10440,Consumer,United States,Pennsylvania,Pennsylvania,40071,East,OFF-LA-1042,Office Supplies,Labels,Compact Label Set,96.11,4,0.0,32.95
44,US-2022-103342,04/22/2023,04/27/2023,Standard Class,CU-10093,Client CU-10391,Home Office,United States,California,California,96257,West,FUR-BO-1043,Furniture,Bookcases,Deluxe Bookcase,1207.88,7,0.0,87.06
45,US-2022-103782,10/26/2022,10/31/2022,Standard Class,CU-10409,Client CU-10554,Home Office,United States,Ohio,Ohio,24931,Central,OFF-PA-1044,Office Supplies,Paper,Standard Copy Paper Ream,83.23,4,0.1,24.85
46,US-2021-104177,12/16/2023,12/20/2023,Standard Class,CU-10589,Client CU-10374,Consumer,United States,Louisiana,Louisiana,52238,South,TEC-AC-1045,Technology,Accessories,Classic Wireless Mouse,728.34,2,0.0,290.07
47,US-2021-100069,12/05/2020,12/07/2020,Standard Class,CU-10065,Client CU-10655,Corporate,United States,Washington,Washington,85922,West,FUR-FU-1046,Furniture,Furnishings,Pro Desk Lamp,860.46,3,0.0,-154.14
48,US-2023-101655,03/25/2020,03/30/2020,Second Class,CU-10376,Client CU-10537,Corporate,United States,Ohio,Ohio,86680,Central,OFF-LA-1047,Office Supplies,Labels,Compact Label Set,105.65,3,0.0,25.12
49,US-2023-104991,05/12/2021,05/16/2021,Second Class,CU-10715,Client CU-10305,Consumer,United States,Georgia,Georgia,25975,South,TEC-AC-1048,Technology,Accessories,Deluxe Wireless Mouse,987.33,4,0.0,167.25
50,US-2023-100851,10/16/2021,10/19/2021,Second Class,CU-10548,Client CU-10556,Corporate,United States,Washington,Washington,98361,West,TEC-PH-1049,Technology,Phones,Pro Smartphone,620.95,3,0.0,136.18
51,US-2023-102535,11/18/2022,11/20/2022,Standard Class,CU-10571,Client CU-10506,Corporate,United States,Maryland,Maryland,59778,East,TEC-CO-1050,Technology,Copiers,Compact Copier,4260.48,8,0.15,1223.44
52,US-2020-102540,12/07/2022,12/13/2022,Standard Class,CU-10606,Client CU-10682,Consumer,United States,Florida,Florida,98697,South,OFF-FA-1051,Office Supplies,Fasteners,Classic Stapler,157.22,6,0.0,-1.91
53,US-2023-101191,05/03/2020,05/05/2020,Standard Class,CU-10028,Client CU-10743,Consumer,United States,Georgia,Georgia,14382,South,TEC-MA-1052,Technology,Machines,Pro Label Printer,2775.6,5,0.15,817.24
54,US-2021-100509,06/17/2023,06/22/2023,First Class,CU-10485,Client CU-10346,Corporate,United States,Wisconsin,Wisconsin,10405,Central,TEC-AC-1053,Technology,Accessories,Premium Wireless Mouse,1283.39,6,0.15,112.81
55,US-2022-103898,07/31/2023,08/04/2023,Standard Class,CU-10665,Client CU-10553,Consumer,United States,Michigan,Michigan,63128,Central,OFF-BI-1054,Office Supplies,Binders,Pro Ring Binder,340.9,6,0.0,143.74
56,US-2023-103191,05/03/2020,05/08/2020,Standard Class,CU-10231,Client CU-10416,Corporate,United States,Nevada,Nevada,22313,West,FUR-FU-1055,Furniture,Furnishings,Pro Desk Lamp,1004.42,3,0.1,490.06
57,US-2020-100412,07/26/2021,07/29/2021,Standard Class,CU-10052,Client CU-10432,Consumer,United States,Louisiana,Louisiana,11590,South,OFF-LA-1056,Office Supplies,Labels,Premium Label Set,213.15,8,0.0,91.69
58,US-2023-101931,11/01/2023,11/07/2023,Standard Class,CU-10183,Client CU-10694,Corporate,United States,Minnesota,Minnesota,91814,Central,OFF-ST-1057,Office Supplies,Storage,Ultra Storage Box,230.66,7,0.0,38.7
59,US-2023-100303,03/13/2021,03/19/2021,Second Class,CU-10437,Client CU-10456,Consumer,United States,Illinois,Illinois,80543,Central,OFF-AR-1058,Office Supplies,Art,Premium Desk Organizer,55.06,2,0.0,29.59
60,US-2021-101597,04/04/2023,04/09/2023,Second Class,CU-10079,Client CU-10248,Corporate,United States,Maryland,Maryland,95980,East,OFF-FA-1059,Office Supplies,Fasteners,Executive Stapler,219.86,8,0.15,65.65
61,US-2023-101319,05/30/2020,06/01/2020,Standard Class,CU-10402,Client CU-10037,Consumer,United States,New York,New York,14586,East,TEC-PH-1060,Technology,Phones,Pro Smartphone,230.74,1,0.0,9.86
62,US-2021-101449,10/29/2020,11/04/2020,First Class,CU-10087,Client CU-10126,Corporate,United States,Virginia,Virginia,10110,East,OFF-BI-1061,Office Supplies,Binders,Deluxe Ring Binder,115.49,3,0.0,20.55
63,US-2022-104570,02/13/2023,02/16/2023,Second Class,CU-10374,Client CU-10260,Consumer,United States,New York,New York,30542,East,OFF-PA-1062,Office Supplies,Paper,Compact Copy Paper Ream,241.81,7,0.0,-39.2
64,US-2021-100449,11/04/2022,11/06/2022,Standard Class,CU-10007,Client CU-10636,Consumer,United States,North Carolina,North Carolina,12815,South,OFF-BI-1063,Office Supplies,Binders,Classic Ring Binder,53.61,2,0.0,11.89
65,US-2021-102289,05/11/2022,05/16/2022,Second Class,CU-10126,Client CU-10776,Consumer,United States,Michigan,Michigan,86993,Central,OFF-PA-1064,Office Supplies,Paper,Standard Copy Paper Ream,397.89,7,0.0,178.91
66,US-2020-100564,12/08/2023,12/09/2023,Standard Class,CU-10468,Client CU-10402,Consumer,United States,Tennessee,Tennessee,47261,South,OFF-ST-1065,Office Supplies,Storage,Ultra Storage Box,98.48,3,0.15,27.17
67,US-2021-104129,01/28/2020,02/02/2020,First Class,CU-10247,Client CU-10115,Consumer,United States,Utah,Utah,63444,West,OFF-BI-1066,Office Supplies,Binders,Deluxe Ring Binder,98.44,2,0.1,43.25
68,US-2021-102889,01/10/2022,01/11/2022,Standard Class,CU-10456,Client CU-10446,Home Office,United States,Arizona,Arizona,90756,West,FUR-BO-1067,Furniture,Bookcases,Classic Bookcase,1091.02,8,0.0,490.56
69,US-2020-100948,03/14/2020,03/17/2020,Standard Class,CU-10014,Client CU-10121,Home Office,United States,New York,New York,30815,East,OFF-AR-1068,Office Supplies,Art,Pro Desk Organizer,244.36,5,0.0,-21.51
70,US-2020-103588,08/01/2021,08/06/2021,Standard Class,CU-10767,Client CU-10720,Consumer,United States,Arizona,Arizona,56311,West,OFF-AR-1069,Office Supplies,Art,Compact Desk Organizer,260.8,6,0.1,41.77
71,US-2022-101798,05/17/2020,05/22/2020,Standard Class,CU-10750,Client CU-10531,Home Office,United States,Ohio,Ohio,27958,Central,OFF-AR-1070,Office Supplies,Art,Ultra Desk Organizer,397.35,8,0.0,87.81
72,US-2023-103263,12/06/2022,12/10/2022,Second Class,CU-10570,Client CU-10740,Consumer,United States,Georgia,Georgia,61293,South,OFF-PA-1071,Office Supplies,Paper,Ultra Copy Paper Ream,341.72,8,0.0,123.75
73,US-2020-104940,05/25/2020,05/26/2020,Second Class,CU-10294,Client CU-10726,Consumer,United States,Alabama,Alabama,89880,South,TEC-CO-1072,Technology,Copiers,Compact Copier,414.08,2,0.1,192.86
74,US-2022-101690,08/20/2021,08/21/2021,Standard Class,CU-10294,Client CU-10599,Consumer,United States,Oregon,Oregon,21799,West,OFF-AR-1073,Office Supplies,Art,Deluxe Desk Organizer,184.92,5,0.3,12.26
75,US-2022-102390,12/21/2020,12/23/2020,Standard Class,CU-10157,Client CU-10373,Consumer,United States,Texas,Texas,56980,Central,TEC-MA-1074,Technology,Machines,Pro Label Printer,538.11,1,0.15,40.88
76,US-2021-100677,11/01/2023,11/03/2023,Second Class,CU-10229,Client CU-10235,Home Office,United States,California,California,88903,West,OFF-BI-1075,Office Supplies,Binders,Premium Ring Binder,153.89,6,0.0,27.42
77,US-2022-104082,04/14/2020,04/17/2020,Second Class,CU-10659,Client CU-10313,Consumer,United States,Tennessee,Tennessee,58812,South,TEC-CO-1076,Technology,Copiers,Compact Copier,859.16,2,0.0,-167.76
78,US-2022-100554,05/02/2022,05/06/2022,Second Class,CU-10592,Client CU-10033,Home Office,United States,Nevada,Nevada,28613,West,TEC-PH-1077,Technology,Phones,Executive Smartphone,2132.83,6,0.0,508.58
79,US-2022-100926,01/21/2021,01/23/2021,Second Class,CU-10191,Client CU-10104,Home Office,United States,Washington,Washington,86619,West,FUR-FU-1078,Furniture,Furnishings,Deluxe Desk Lamp,1688.27,7,0.0,444.58
80,US-2022-101642,12/23/2020,12/25/2020,Standard Class,CU-10403,Client CU-10352,Corporate,United States,Massachusetts,Massachusetts,57676,East,OFF-AR-1079,Office Supplies,Art,Executive Desk Organizer,106.1,2,0.3,-16.52
81,US-2023-104799,10/22/2023,10/23/2023,Standard Class,CU-10162,Client CU-10681,Consumer,United States,New Jersey,New Jersey,12704,East,FUR-CH-1080,Furniture,Chairs,Standard Office Chair,637.67,4,0.3,11.75
82,US-2020-100712,11/09/2021,11/15/2021,Second Class,CU-10638,Client CU-10289,Consumer,United States,Florida,Florida,52187,South,OFF-PA-1081,Office Supplies,Paper,Premium Copy Paper Ream,115.46,4,0.0,-29.97
83,US-2020-104136,05/14/2021,05/15/2021,First Class,CU-10165,Client CU-10414,Corporate,United States,Alabama,Alabama,49418,South,FUR-TA-1082,Furniture,Tables,Ultra Meeting Table,2242.2,7,0.1,540.83
84,US-2023-102483,03/31/2020,04/03/2020,First Class,CU-10306,Client CU-10505,Corporate,United States,Nevada,Nevada,38723,West,OFF-FA-1083,Office Supplies,Fasteners,Ultra Stapler,109.59,4,0.0,17.98
85,US-2022-104930,11/21/2021,11/25/2021,Standard Class,CU-10659,Client CU-10770,Home Office,United States,Pennsylvania,Pennsylvania,50466,East,OFF-AR-1084,Office Supplies,Art,Premium Desk Organizer,227.55,8,0.0,66.07
86,US-2023-101971,08/21/2022,08/23/2022,Standard Class,CU-10314,Client CU-10116,Corporate,United States,Illinois,Illinois,74779,Central,OFF-FA-1085,Office Supplies,Fasteners,Classic Stapler,99.33,3,0.3,12.64
87,US-2020-101624,05/14/2021,05/19/2021,Second Class,CU-10520,Client CU-10571,Consumer,United States,Georgia,Georgia,69661,South,OFF-ST-1086,Office Supplies,Storage,Deluxe Storage Box,105.14,4,0.0,24.29
88,US-2021-103829,06/10/2023,06/15/2023,Standard Class,CU-10108,Client CU-10219,Home Office,United States,Virginia,Virginia,70725,East,TEC-PH-1087,Technology,Phones,Ultra Smartphone,498.15,2,0.1,69.2
89,US-2021-103589,10/23/2023,10/27/2023,Standard Class,CU-10761,Client CU-10343,Consumer,United States,Utah,Utah,71687,West,OFF-AR-1088,Office Supplies,Art,Classic Desk Organizer,236.35,5,0.0,79.61
90,US-2023-103523,10/10/2021,10/12/2021,Second Class,CU-10382,Client CU-10634,Consumer,United States,Virginia,Virginia,40069,East,OFF-FA-1089,Office Supplies,Fasteners,Executive Stapler,259.69,8,0.2,84.68
91,US-2023-103131,11/29/2023,11/30/2023,Standard Class,CU-10356,Client CU-10472,Consumer,United States,Louisiana,Louisiana,68033,South,TEC-CO-1090,Technology,Copiers,Ultra Copier,2951.73,6,0.15,1613.92
92,US-2023-100195,11/15/2020,11/19/2020,Second Class,CU-10262,Client CU-10104,Consumer,United States,Nevada,Nevada,85524,West,OFF-AR-1091,Office Supplies,Art,Executive Desk Organizer,184.53,7,0.2,31.55
93,US-2020-104388,12/28/2023,12/30/2023,Same Day,CU-10727,Client CU-10493,Consumer,United States,Missouri,Missouri,16267,Central,OFF-BI-1092,Office Supplies,Binders,Deluxe Ring Binder,77.52,2,0.0,46.62
94,US-2020-102532,08/26/2022,08/29/2022,Standard Class,CU-10430,Client CU-10230,Corporate,United States,Illinois,Illinois,71753,Central,TEC-MA-1093,Technology,Machines,Standard Label Printer,263.54,1,0.15,36.5
95,US-2021-100889,05/18/2020,05/23/2020,Standard Class,CU-10331,Client CU-10287,Consumer,United States,Florida,Florida,70503,South,OFF-FA-1094,Office Supplies,Fasteners,Premium Stapler,181.47,6,0.4,18.06
96,US-2021-101109,08/31/2021,09/03/2021,Standard Class,CU-10696,Client CU-10444,Consumer,United States,Missouri,Missouri,89115,Central,TEC-CO-1095,Technology,Copiers,Ultra Copier,1545.11,3,0.1,11.07
97,US-2022-101690,03/18/2020,03/20/2020,First Class,CU-10508,Client CU-10266,Consumer,United States,Oregon,Oregon,25119,West,FUR-BO-1096,Furniture,Bookcases,Compact Bookcase,336.5,1,0.0,51.27
98,US-2020-101636,04/11/2023,04/12/2023,Standard Class,CU-10586,Client CU-10420,Consumer,United States,Georgia,Georgia,77523,South,OFF-LA-1097,Office Supplies,Labels,Deluxe Label Set,51.99,1,0.0,9.84
99,US-2023-100219,01/02/2023,01/08/2023,Standard Class,CU-10642,Client CU-10545,Consumer,United States,New Jersey,New Jersey,99133,East,FUR-CH-1098,Furniture,Chairs,Pro Office Chair,178.54,1,0.0,59.43
100,US-2021-102365,07/01/2023,07/07/2023,Standard Class,CU-10511,Client CU-10196,Corporate,United States,Illinois,Illinois,76124,Central,OFF-ST-1099,Office Supplies,Storage,Standard Storage Box,218.66,8,0.2,0.42
101,US-2021-101441,02/08/2020,02/12/2020,Second Class,CU-10326,Client CU-10080,Corporate,United States,New Jersey,New Jersey,84394,East,OFF-LA-1100,Office Supplies,Labels,Deluxe Label Set,40.18,1,0.1,6.53
102,US-2023-100047,04/04/2021,04/07/2021,First Class,CU-10165,Client CU-10603,Consumer,United States,Virginia,Virginia,68165,East,OFF-PA-1101,Office Supplies,Paper,Standard Copy Paper Ream,115.31,5,0.1,20.57
103,US-2021-101505,09/27/2023,09/30/2023,Standard Class,CU-10530,Client CU-10696,Consumer,United States,Florida,Florida,18924,South,OFF-ST-1102,Office Supplies,Storage,Classic Storage Box,45.6,1,0.0,-0.19
104,US-2023-101711,06/10/2023,06/12/2023,Second Class,CU-10206,Client CU-10326,Home Office,United States,Massachusetts,Massachusetts,28484,East,FUR-CH-1103,Furniture,Chairs,Pro Office Chair,439.77,3,0.0,229.67
105,US-2021-100517,06/17/2020,06/20/2020,Standard Class,CU-10639,Client CU-10111,Consumer,United States,Alabama,Alabama,99699,South,FUR-CH-1104,Furniture,Chairs,Premium Office Chair,1785.14,5,0.0,309.43
106,US-2022-102654,04/22/2022,04/28/2022,Same Day,CU-10385,Client CU-10746,Consumer,United States,New York,New York,44265,East,TEC-MA-1105,Technology,Machines,Premium Label Printer,4222.98,7,0.0,10.05
107,US-2021-103333,10/09/2020,10/15/2020,Standard Class,CU-10318,Client CU-10624,Home Office,United States,New Jersey,New Jersey,66982,East,OFF-BI-1106,Office Supplies,Binders,Standard Ring Binder,43.01,1,0.2,18.6
108,US-2021-101849,10/20/2021,10/26/2021,Standard Class,CU-10250,Client CU-10055,Consumer,United States,Alabama,Alabama,44072,South,OFF-ST-1107,Office Supplies,Storage,Executive Storage Box,243.34,5,0.0,17.32
109,US-2021-104853,11/09/2020,11/14/2020,Standard Class,CU-10723,Client CU-10081,Consumer,United States,Nevada,Nevada,70204,West,OFF-LA-1108,Office Supplies,Labels,Classic Label Set,151.9,5,0.15,8.29
110,US-2020-100416,04/25/2022,05/01/2022,Second Class,CU-10020,Client CU-10117,Consumer,United States,Louisiana,Louisiana,86692,South,TEC-MA-1109,Technology,Machines,Ultra Label Printer,481.61,1,0.0,112.96
111,US-2020-103360,04/27/2021,05/03/2021,Second Class,CU-10125,Client CU-10116,Corporate,United States,New Jersey,New Jersey,54692,East,TEC-PH-1110,Technology,Phones,Ultra Smartphone,3476.41,8,0.0,714.25
112,US-2020-101948,09/30/2020,10/06/2020,Standard Class,CU-10632,Client CU-10190,Home Office,United States,Florida,Florida,60794,South,TEC-CO-1111,Technology,Copiers,Classic Copier,1676.87,5,0.2,-338.6
113,US-2022-103530,09/01/2021,09/02/2021,First Class,CU-10236,Client CU-10051,Corporate,United States,Minnesota,Minnesota,12157,Central,OFF-ST-1112,Office Supplies,Storage,Standard Storage Box,53.66,1,0.15,12.91
114,US-2021-104805,09/02/2022,09/03/2022,Standard Class,CU-10407,Client CU-10348,Consumer,United States,New Jersey,New Jersey,22565,East,FUR-BO-1113,Furniture,Bookcases,Pro Bookcase,553.23,4,0.1,179.87
115,US-2021-104953,08/14/2021,08/16/2021,Second Class,CU-10679,Client CU-10280,Consumer,United States,Pennsylvania,Pennsylvania,48611,East,TEC-PH-1114,Technology,Phones,Standard Smartphone,1459.55,7,0.4,41.86
116,US-2023-101943,10/31/2023,11/04/2023,First Class,CU-10035,Client CU-10594,Consumer,United States,Washington,Washington,85371,West,TEC-AC-1115,Technology,Accessories,Deluxe Wireless Mouse,317.31,1,0.1,51.92
117,US-2021-104945,02/19/2022,02/20/2022,Same Day,CU-10049,Client CU-10225,Consumer,United States,California,California,37958,West,FUR-FU-1116,Furniture,Furnishings,Pro Desk Lamp,1894.96,8,0.0,233.7
118,US-2021-101809,06/20/2023,06/21/2023,Standard Class,CU-10735,Client CU-10719,Corporate,United States,Washington,Washington,81620,West,FUR-FU-1117,Furniture,Furnishings,Pro Desk Lamp,2232.62,6,0.15,537.45
119,US-2022-100974,10/26/2022,10/31/2022,Standard Class,CU-10305,Client CU-10564,Corporate,United States,Maryland,Maryland,16969,East,TEC-CO-1118,Technology,Copiers,Deluxe Copier,1446.51,4,0.0,-119.79
120,US-2021-101917,02/21/2020,02/23/2020,First Class,CU-10402,Client CU-10679,Consumer,United States,Pennsylvania,Pennsylvania,97946,East,OFF-FA-1119,Office Supplies,Fasteners,Premium Stapler,123.96,2,0.0,33.52
121,US-2021-103981,10/11/2020,10/12/2020,First Class,CU-10157,Client CU-10673,Home Office,United States,Oregon,Oregon,65600,West,FUR-CH-1120,Furniture,Chairs,Standard Office Chair,1286.98,5,0.2,229.96
122,US-2022-100618,11/25/2020,11/28/2020,Standard Class,CU-10421,Client CU-10480,Corporate,United States,Florida,Florida,38865,South,FUR-TA-1121,Furniture,Tables,Deluxe Meeting Table,844.02,4,0.3,-86.58
123,US-2020-102944,11/19/2022,11/25/2022,Standard Class,CU-10388,Client CU-10024,Consumer,United States,Illinois,Illinois,55736,Central,OFF-ST-1122,Office Supplies,Storage,Classic Storage Box,52.58,2,0.3,-10.53
